1,"  THIRUVOTRIYUR TEMPLE,  THANGAL,  ANNA NAGAR,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  M.G.R.CENTRAL,  P.OR & SONS,  WESLEY H.S,  Y.M.I.A,  MANDAVELI,  A.M.S.HOSPITAL,  ADYAR O.T.,  ADYAR DEPOT"
,
101,"  THRUVOTRIYUR TEMPLE,  THANGAL,  ANNA NAGAR,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  M.G.R.CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  AMINJIKARAI,  NADUVANKARAI,  ARUMBAKKAM,  NERKUNDRAM,  MADURAVOYAL,  VAANAGARAM,  VELAPPANCHAVADI,  KUMUNANCHAVADI"
,
102,"  SECRETARIAT,  CHEPAUK,  Q.M.C,  FORESHORE ESTATE,  A.M.S.HOSPITAL,  ADYAR O.T.,  INDIRA NAGAR WATER TANK,  SRP TOOLS,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SHOZHANGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  SEMMANCHERI,  NAVALUR,  CHURCH,  PALAVASTHIC CHEMICALS,  HINDUSTAN ENG. COLLEGE"
,
102A,"  SRP TOOLS,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SHOZHANGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  SEMMANCHERI,  NAVALUR,  SIPCOT,  SIRUSERI I.T.PARK,  PUDUPAKKAM P.U.O."
,
102C,"  SECRETARIAT,  CHEPAUK,  Q.M.C,  FORESHORE ESTATE,  A.M.S.HOSPITAL,  ADYAR O.T.,  ADYAR DEPOT,  SRP TOOLS,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SHOZHANGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  NUCLEUS COMPANY"
,
102CT,"  SRP TOOLS,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SHOZHANGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  SEMMANCHERI,  NAVALUR,  SIPCOT"
,
